      X       Y           ¦Ñs            ¦Çs
    21.5    -7.0     7.655762E+01     0.000000E+00
    22.0    -7.5     7.673883E+01     0.000000E+00
    22.5    -8.0     7.716496E+01     0.000000E+00
    23.0    -8.5     7.774773E+01     0.000000E+00
    23.5    -9.0     7.841631E+01     0.000000E+00
    24.0    -9.5     7.912101E+01     0.000000E+00
    24.5   -10.0     7.982162E+01     0.000000E+00
    25.0   -10.5     8.050899E+01     0.000000E+00
    25.5   -11.0     8.115219E+01     0.000000E+00
    26.0   -11.5     8.175736E+01     0.000000E+00
    26.5   -12.0     8.232421E+01     0.000000E+00
    27.0   -12.5     8.284103E+01     0.000000E+00
    16.5    -1.0     8.574619E+01     0.000000E+00
    17.0    -1.5     1.087216E+02     0.000000E+00
    17.5    -2.0     1.055535E+02     0.000000E+00
    18.0    -2.5     9.937490E+01     0.000000E+00
    18.5    -3.0     9.459898E+01     0.000000E+00
    19.0    -3.5     9.058011E+01     0.000000E+00
    19.5    -4.0     8.689027E+01     0.000000E+00
    20.0    -4.5     8.360480E+01     0.000000E+00
    20.5    -5.0     8.087875E+01     0.000000E+00
    21.0    -5.5     7.878445E+01     0.000000E+00
    21.5    -6.0     7.730486E+01     0.000000E+00
    22.0    -6.5     7.636705E+01     0.000000E+00
    22.5    -7.0     7.586649E+01     0.000000E+00
    23.0    -7.5     7.571202E+01     0.000000E+00
    23.5    -8.0     7.580199E+01     0.000000E+00
    24.0    -8.5     7.606634E+01     0.000000E+00
    24.5    -9.0     7.644577E+01     0.000000E+00
    25.0    -9.5     7.688470E+01     0.000000E+00
    25.5   -10.0     7.735007E+01     0.000000E+00
    26.0   -10.5     7.782541E+01     0.000000E+00
    26.5   -11.0     7.828893E+01     0.000000E+00
    27.0   -11.5     7.873293E+01     0.000000E+00
    27.5   -12.0     7.915869E+01     0.000000E+00
    17.5    -1.0     8.579416E+01     0.000000E+00
    18.0    -1.5     1.088049E+02     0.000000E+00
    18.5    -2.0     1.055743E+02     0.000000E+00
    19.0    -2.5     9.922939E+01     0.000000E+00
    19.5    -3.0     9.429791E+01     0.000000E+00
    20.0    -3.5     9.034656E+01     0.000000E+00
    20.5    -4.0     8.688461E+01     0.000000E+00
    21.0    -4.5     8.379733E+01     0.000000E+00
    21.5    -5.0     8.113161E+01     0.000000E+00
    22.0    -5.5     7.894412E+01     0.000000E+00
    22.5    -6.0     7.724188E+01     0.000000E+00
    23.0    -6.5     7.599490E+01     0.000000E+00
    23.5    -7.0     7.514160E+01     0.000000E+00
    24.0    -7.5     7.461726E+01     0.000000E+00
    24.5    -8.0     7.434277E+01     0.000000E+00
    25.0    -8.5     7.425658E+01     0.000000E+00
    25.5    -9.0     7.430540E+01     0.000000E+00
    26.0    -9.5     7.444860E+01     0.000000E+00
    26.5   -10.0     7.464094E+01     0.000000E+00
    27.0   -10.5     7.487019E+01     0.000000E+00
    27.5   -11.0     7.511130E+01     0.000000E+00
    28.0   -11.5     7.535831E+01     0.000000E+00
    18.5    -1.0     8.586172E+01     0.000000E+00
    19.0    -1.5     1.089361E+02     0.000000E+00
    19.5    -2.0     1.056771E+02     0.000000E+00
    20.0    -2.5     9.922687E+01     0.000000E+00
    20.5    -3.0     9.429241E+01     0.000000E+00
    21.0    -3.5     9.057432E+01     0.000000E+00
    21.5    -4.0     8.741254E+01     0.000000E+00
    22.0    -4.5     8.453912E+01     0.000000E+00
    22.5    -5.0     8.193580E+01     0.000000E+00
    23.0    -5.5     7.965895E+01     0.000000E+00
    23.5    -6.0     7.774893E+01     0.000000E+00
    24.0    -6.5     7.621492E+01     0.000000E+00
    24.5    -7.0     7.502811E+01     0.000000E+00
    25.0    -7.5     7.414915E+01     0.000000E+00
    25.5    -8.0     7.352223E+01     0.000000E+00
    26.0    -8.5     7.309225E+01     0.000000E+00
    26.5    -9.0     7.281390E+01     0.000000E+00
    27.0    -9.5     7.264777E+01     0.000000E+00
    27.5   -10.0     7.256089E+01     0.000000E+00
    28.0   -10.5     7.252055E+01     0.000000E+00
    28.5   -11.0     7.252461E+01     0.000000E+00
    19.5    -1.0     8.589809E+01     0.000000E+00
    20.0    -1.5     1.089856E+02     0.000000E+00
    20.5    -2.0     1.056740E+02     0.000000E+00
    21.0    -2.5     9.922292E+01     0.000000E+00
    21.5    -3.0     9.460055E+01     0.000000E+00
    22.0    -3.5     9.138796E+01     0.000000E+00
    22.5    -4.0     8.873512E+01     0.000000E+00
    23.0    -4.5     8.625083E+01     0.000000E+00
    23.5    -5.0     8.387748E+01     0.000000E+00
    24.0    -5.5     8.167936E+01     0.000000E+00
    24.5    -6.0     7.972767E+01     0.000000E+00
    25.0    -6.5     7.806342E+01     0.000000E+00
    25.5    -7.0     7.669566E+01     0.000000E+00
    26.0    -7.5     7.559751E+01     0.000000E+00
    26.5    -8.0     7.473698E+01     0.000000E+00
    27.0    -8.5     7.406773E+01     0.000000E+00
    27.5    -9.0     7.355638E+01     0.000000E+00
    28.0    -9.5     7.315241E+01     0.000000E+00
    28.5   -10.0     7.284929E+01     0.000000E+00
    29.0   -10.5     7.259668E+01     0.000000E+00
    20.5    -1.0     8.589738E+01     0.000000E+00
    21.0    -1.5     1.089318E+02     0.000000E+00
    21.5    -2.0     1.055658E+02     0.000000E+00
    22.0    -2.5     9.937778E+01     0.000000E+00
    22.5    -3.0     9.532441E+01     0.000000E+00
    23.0    -3.5     9.280989E+01     0.000000E+00
    23.5    -4.0     9.081913E+01     0.000000E+00
    24.0    -4.5     8.887259E+01     0.000000E+00
    24.5    -5.0     8.688287E+01     0.000000E+00
    25.0    -5.5     8.492673E+01     0.000000E+00
    25.5    -6.0     8.310481E+01     0.000000E+00
    26.0    -6.5     8.148316E+01     0.000000E+00
    26.5    -7.0     8.009310E+01     0.000000E+00
    27.0    -7.5     7.893338E+01     0.000000E+00
    27.5    -8.0     7.798090E+01     0.000000E+00
    28.0    -8.5     7.719949E+01     0.000000E+00
    28.5    -9.0     7.657206E+01     0.000000E+00
    29.0    -9.5     7.604193E+01     0.000000E+00
    29.5   -10.0     7.560474E+01     0.000000E+00
    21.5    -1.0     8.585933E+01     0.000000E+00
